vin,fleet,positionid,vehicleid,gtpdriverid,version,heading,latitude,longitude,altitude,address,updateddate,total_fuel_consumption,total_engine_hours,total_distance,time_sweetspot,time_idle,time_pto,time_drive,speed,msg_trigger_type,current_fuel_level,received_date
MC2M7SRC0JD055280,Syndicate_Carrier,1249553744,17421,,0,0,21.618749,75.072453,495,,01/09/2019 1:01,32656.57,2961.25,106275.96,1182.3,329.72,0,2630.75,0,IGNITION_ON,65.599998,14:53.2
MC2M7SRC0JD055280,Syndicate_Carrier,1249553745,17421,,0,0,21.618749,75.072453,495,,01/09/2019 1:01,32656.57,2961.25,106275.96,1182.3,329.72,0,2630.75,0,PERIODIC,65.599998,14:53.2
MC2M7SRC0JD055280,Syndicate_Carrier,1249553749,17421,,0,331,21.618758,75.072438,489,,01/09/2019 1:05,32656.68,2961.3,106275.96,1182.3,329.78,0,2630.75,1,PERIODIC,65.599998,14:53.3
MC2M7SRC0JD055280,Syndicate_Carrier,1249553751,17421,,0,271,21.618806,75.072451,492,,01/09/2019 1:05,32656.71,2961.3,106275.97,1182.3,329.79,0,2630.75,1,MOVEMENT,65.599998,14:53.3
MC2M7SRC0JD055280,Syndicate_Carrier,1249553743,17421,,0,209,21.603059,75.068519,505,,01/09/2019 1:10,32658.15,2961.4,106277.88,1182.3,329.79,0,2630.85,46,PERIODIC,65.599998,14:53.2
MC2M7SRC0JD055280,Syndicate_Carrier,1249553736,17421,,0,158,21.580766,75.057916,543,,01/09/2019 1:15,32659.93,2961.5,106280.9,1182.35,329.79,0,2630.9,39,PERIODIC,65.599998,14:53.1
MC2M7SRC0JD055280,Syndicate_Carrier,1249553729,17421,,0,185,21.566225,75.052146,419,,01/09/2019 1:20,32660.01,2961.55,106283.26,1182.35,329.79,0,2631,36,PERIODIC_WITH_DISTANCE,65.599998,14:53.0
MC2M7SRC0JD055280,Syndicate_Carrier,1249553735,17421,,0,185,21.566225,75.052146,419,,01/09/2019 1:20,32660.01,2961.55,106283.26,1182.35,329.79,0,2631,35,PERIODIC,65.599998,14:53.1
MC2M7SRC0JD055280,Syndicate_Carrier,1249553716,17421,,0,199,21.524043,75.042925,279,,01/09/2019 1:25,32660.2,2961.65,106288.39,1182.4,329.79,0,2631.1,7,PERIODIC,62,14:52.8
MC2M7SRC0JD055280,Syndicate_Carrier,1249553708,17421,,0,233,21.501679,75.017705,263,,01/09/2019 1:30,32661.11,2961.75,106292.11,1182.45,329.79,0,2631.15,39,PERIODIC,64.800003,14:52.7
