vin,fleet,positionid,vehicleid,gtpdriverid,version,heading,latitude,longitude,altitude,address,updateddate,total_fuel_consumption,total_engine_hours,total_distance,time_sweetspot,time_idle,time_pto,time_drive,speed,msg_trigger_type,current_fuel_level,received_date
MC2M7SRC0HK051713,Syndicate_Carrier,1249430920,12863,,0,0,30.637448,76.758179,292,,01/09/2019 1:03,14892.59,1511.15,160208.97,461.3,135.7,0,1375.1,0,IGNITION_ON,23.6,23:24.1
MC2M7SRC0HK051713,Syndicate_Carrier,1249430918,12863,,0,0,30.637448,76.758179,292,,01/09/2019 1:03,14892.59,1511.15,160208.97,461.3,135.7,0,1375.1,0,PERIODIC,23.6,23:24.0
MC2M7SRC0HK051713,Syndicate_Carrier,1249430908,12863,,0,0,30.637446,76.758194,289,,01/09/2019 1:08,14892.75,1511.25,160208.97,461.3,135.78,0,1375.1,0,PERIODIC,23.6,23:23.9
MC2M7SRC0HK051713,Syndicate_Carrier,1249430911,12863,,0,0,30.637453,76.758161,288,,01/09/2019 1:13,14892.9,1511.35,160208.97,461.3,135.87,0,1375.1,0,PERIODIC,23.6,23:23.9
MC2M7SRC0HK051713,Syndicate_Carrier,1249430905,12863,,0,0,30.637482,76.758151,290,,01/09/2019 1:14,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,IGNITION_OFF,23.200001,23:23.8
MC2M7SRC0HK051713,Syndicate_Carrier,1249430906,12863,,0,0,30.63739,76.758111,293,,01/09/2019 1:18,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,23:23.8
MC2M7SRC0HK051713,Syndicate_Carrier,1249430665,12863,,0,0,30.637431,76.758144,295,,01/09/2019 1:23,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,23:09.6
MC2M7SRC0HK051713,Syndicate_Carrier,1249436531,12863,,0,0,30.637448,76.758157,295,,01/09/2019 1:28,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,28:08.7
MC2M7SRC0HK051713,Syndicate_Carrier,1249442041,12863,,0,0,30.63746,76.75817,293,,01/09/2019 1:33,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,33:08.7
MC2M7SRC0HK051713,Syndicate_Carrier,1249461284,12863,,0,0,30.637477,76.758145,293,,01/09/2019 1:38,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,52:09.7
MC2M7SRC0HK051713,Syndicate_Carrier,1249447315,12863,,0,0,30.637477,76.758145,293,,01/09/2019 1:38,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,38:08.9
MC2M7SRC0HK051713,Syndicate_Carrier,1249452228,12863,,0,0,30.637477,76.758145,293,,01/09/2019 1:38,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,43:09.4
MC2M7SRC0HK051713,Syndicate_Carrier,1249461283,12863,,0,0,30.637464,76.758126,292,,01/09/2019 1:43,14892.96,1511.35,160208.97,461.3,135.89,0,1375.1,0,PERIODIC,23.200001,52:09.6
