vin,fleet,positionid,vehicleid,gtpdriverid,version,heading,latitude,longitude,altitude,address,updateddate,total_fuel_consumption,total_engine_hours,total_distance,time_sweetspot,time_idle,time_pto,time_drive,speed,msg_trigger_type,current_fuel_level,received_date
MC2M7SRC0HJ051269,Syndicate_Carrier,1249995325,14575,,0,0,18.485618,73.867197,587,,01/09/2019 9:01,39821.68,4009.6,149317.75,1877.45,404.69,0,3603.95,0,PERIODIC,17.200001,01:38.5
MC2M7SRC0HJ051269,Syndicate_Carrier,1249995326,14575,,0,0,18.485618,73.867197,587,,01/09/2019 9:01,39821.69,4009.6,149317.75,1877.45,404.69,0,3603.95,0,IGNITION_ON,17.6,01:38.5
MC2M7SRC0HJ051269,Syndicate_Carrier,1249999181,14575,,0,78,18.485971,73.867365,584,,01/09/2019 9:04,39821.88,4009.65,149317.86,1877.45,404.72,0,3603.95,5,PERIODIC,16.4,04:47.1
MC2M7SRC0HJ051269,Syndicate_Carrier,1250003880,14575,,0,0,18.485908,73.867269,581,,01/09/2019 9:08,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,IGNITION_OFF,17.200001,08:28.7
MC2M7SRC0HJ051269,Syndicate_Carrier,1250005442,14575,,0,0,18.485906,73.867265,583,,01/09/2019 9:09,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,PERIODIC,17.200001,09:45.7
MC2M7SRC0HJ051269,Syndicate_Carrier,1250011590,14575,,0,0,18.485917,73.867298,585,,01/09/2019 9:14,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,PERIODIC,17.200001,14:45.8
MC2M7SRC0HJ051269,Syndicate_Carrier,1250017737,14575,,0,0,18.485895,73.867284,584,,01/09/2019 9:19,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,PERIODIC,17.200001,19:46.1
MC2M7SRC0HJ051269,Syndicate_Carrier,1250017738,14575,,0,0,18.485895,73.867284,584,,01/09/2019 9:19,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,PERIODIC_WITH_DISTANCE,17.200001,19:46.1
MC2M7SRC0HJ051269,Syndicate_Carrier,1250018364,14575,,0,0,18.485898,73.867287,585,,01/09/2019 9:20,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,IGNITION_ON,17.200001,01/09/2019 9:20
MC2M7SRC0HJ051269,Syndicate_Carrier,1250018510,14575,,0,0,18.485898,73.867287,585,,01/09/2019 9:20,39822.01,4009.75,149317.92,1877.45,404.77,0,3604,0,IGNITION_OFF,8.8,20:24.2
